,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
2192,2015-08-19,116.1,116.52,114.68,115.01,115.01,0.9127,0.026,0.892,0.082
2193,2015-08-20,114.08,114.35,111.63,112.65,112.65,0.5653,0.077,0.826,0.097
2194,2015-08-21,110.43,111.9,105.65,105.76,105.76,0.9269,0.084,0.792,0.124
2195,2015-08-24,94.87,108.8,92.0,103.12,103.12,-0.5302,0.106,0.787,0.108
2196,2015-08-25,111.11,111.11,103.5,103.74,103.74,0.9231,0.054,0.848,0.098
2197,2015-08-26,107.09,109.89,105.05,109.69,109.69,0.743,0.057,0.857,0.086
2198,2015-08-27,112.23,113.24,110.02,112.92,112.92,0.6808,0.048,0.872,0.08
2199,2015-08-28,112.17,113.31,111.54,113.29,113.29,0.6369,0.055,0.858,0.087
2200,2015-08-31,112.03,114.53,112.0,112.76,112.76,-0.7269,0.088,0.882,0.03
2201,2015-09-01,110.15,111.88,107.36,107.72,107.72,0.9799,0.028,0.822,0.149
2202,2015-09-02,110.23,112.34,109.13,112.34,112.34,0.9843,0.017,0.871,0.111
2203,2015-09-03,112.49,112.78,110.04,110.37,110.37,0.9231,0.06,0.828,0.111
2204,2015-09-04,108.97,110.45,108.51,109.27,109.27,0.8151,0.043,0.869,0.088
2205,2015-09-08,111.75,112.56,110.32,112.31,112.31,0.9694,0.076,0.781,0.143
2206,2015-09-09,113.76,114.02,109.77,110.15,110.15,0.9764,0.016,0.89,0.095
2207,2015-09-10,110.27,113.28,109.9,112.57,112.57,0.9641,0.007,0.901,0.092
2208,2015-09-11,111.79,114.21,111.76,114.21,114.21,-0.2617,0.059,0.885,0.055
2209,2015-09-14,116.58,116.89,114.86,115.31,115.31,0.9494,0.04,0.861,0.099
2210,2015-09-15,115.93,116.53,114.42,116.28,116.28,-0.4374,0.103,0.812,0.084
2211,2015-09-16,116.25,116.54,115.44,116.41,116.41,0.9716,0.012,0.878,0.11
2212,2015-09-17,115.66,116.49,113.72,113.92,113.92,0.7687,0.08,0.816,0.104
2213,2015-09-18,112.21,114.3,111.87,113.45,113.45,-0.9564,0.122,0.824,0.055
2214,2015-09-21,113.67,115.37,113.66,115.21,115.21,0.9648,0.021,0.878,0.101
2215,2015-09-22,113.38,114.18,112.52,113.4,113.4,0.964,0.008,0.91,0.082
2216,2015-09-23,113.63,114.72,113.3,114.32,114.32,0.0,0.0,0.0,0.0
2217,2015-09-24,113.25,115.5,112.37,115.0,115.0,0.9638,0.037,0.861,0.102
2218,2015-09-25,116.44,116.69,114.02,114.71,114.71,0.9607,0.032,0.882,0.086
2219,2015-09-28,113.85,114.57,112.44,112.44,112.44,0.4522,0.073,0.831,0.096
2220,2015-09-29,112.83,113.51,107.86,109.06,109.06,0.1779,0.015,0.954,0.031
2221,2015-09-30,110.17,111.54,108.73,110.3,110.3,0.0,0.0,0.0,0.0
2222,2015-10-01,109.07,109.62,107.31,109.58,109.58,0.891,0.055,0.85,0.095
2223,2015-10-02,108.01,111.01,107.55,110.38,110.38,-0.6357,0.134,0.733,0.133
2224,2015-10-05,109.88,111.37,109.07,110.78,110.78,0.891,0.041,0.873,0.086
2225,2015-10-06,110.63,111.74,109.77,111.31,111.31,0.274,0.088,0.808,0.104
2226,2015-10-07,111.74,111.77,109.41,110.78,110.78,0.9261,0.047,0.866,0.086
